Id,Portfolio Dept?,Title,Portfolio,Classification,Type of Body,GFS Sector Classification,Materiality,Description,Established By / Under,Established by/Under More Info,Creation Date,GFS Function / Sector Reported,PS Act Body,Average Staffing Level (ASL),Max No. of  Board / Committee Members,Paid Members?,Board / Committee Appointed by,Board / Committee Appointed More Info,Annual Report Prepared and Tabled?,Auditor,Auditor Other,ABN,Parent Organisation,Parent Board / Non-Board Title,"2019-20 Budget, Total Appropriations ($000)","2019-20 Budget, Total Departmental Expenses ($000)",Head Office Street Address,Head Office Suburb,Head Office State,Head Office Postcode,Head Office Country,Website Address,Strategic / Corporate / Organisational Plan,Annual Reports,Budget Documentation
O-000801,,Australian Postal Corporation,Communications and the Arts,A. Principal,B. Corporate Commonwealth Entity,PNFC,Material,"Australia Post provides postal services within Australia and between Australia and places outside Australia. Australia Post is prescribed as a Government Business Enterprise under the Public Governance, Performance and Accountability Act 2013.",Act / Regulation,Australian Postal Corporation Act 1989,32690,Transport and Communication,,,,,,,Yes,ANAO,,28 864 970 579,,,,,111 Bourke Street,Melbourne,VIC,3000,Australia,http://auspost.com.au,http://auspost.com.au/about-us/corporate-governance.html,http://auspost.com.au/about-us/publications.html,http://www.communications.gov.au/about_us/budget
O-000802,,Bundanon Trust,Communications and the Arts,A. Principal,C. Commonwealth Company,GGS,Small,"Gifted to the Australian people in 1993 by Arthur and Yvonne Boyd the Bundanon property is located on 1,100 hectares of pristine bush land overlooking the Shoalhaven River, near Nowra in New South Wales, two and a half hours south of Sydney. The Australian Government established Bundanon Trust as a wholly owned Australian Government company limited by guarantee, with the Company holding the gift as a charitable trust. Bundanon Trust has been supported by the Australian Government since 1993. The Trust is also supported by the Australia Council for the Arts; the Macquarie Group Foundation; the Pratt Foundation and a range of other public and private sources.",Other,Company Limited by Guarantee,34050,Recreation and Culture,,23,,,,,Yes,ANAO,,72 058 829 217,,,,9251,170 Riversdale Road,Illaroo,NSW,2540,Australia,http://www.bundanon.com.au/,https://bundanon.com.au/about/,http://www.bundanon.com.au/content/annual-reports,
O-000803,,Museum of Australian Democracy at Old Parliament House,Communications and the Arts,A. Principal,B. Corporate Commonwealth Entity,GGS,Small,"The Museum of Australian Democracy at Old Parliament House's strategic vision is to be bold, relevant, dynamic and authentic by: - Being a catalyst for uncensored conversations - Empowering and engaging communities - Being a welcoming and vibrant meeting place - A sustainable and thriving future Through its exhibitions and education programs, the Museum enables audiences to enjoy, appreciate and understand the role of democracy in the history and future of Australia. In addition, the Museum conserves, interprets and provides access to the significant heritage-listed Old Parliament House building for future generations. Old Parliament House was the home of Australia's Federal Parliament from 1927 to 1988 and is an icon of outstanding national significance, symbolising a key period in the democratic history of Australia.",PGPA Rule (Schedule 1),,42552,Recreation and Culture,Yes - Statutory Agency,73,,,,,Yes,ANAO,,30 620 774 963,,,18303,16054,18 King George Terrace,Parkes,ACT,2600,Australia,http://moadoph.gov.au/,http://moadoph.gov.au/about/corporate-documents/,http://moadoph.gov.au/about/corporate-documents/,http://moadoph.gov.au/about/corporate-documents/
O-000804,,National Film and Sound Archive of Australia,Communications and the Arts,A. Principal,B. Corporate Commonwealth Entity,GGS,Small,"The National Film and Sound Archive of Australia (NFSA) is the nation's living archive, collecting, preserving and sharing our rich audio-visual heritage. Its mission is to develop and preserve a collection of significant Australian film, recorded sound, broadcast and new and networked media works, and to share the collection with audiences across Australia and overseas. In addition to its responsibility for collection development and preservation, the NFSA places priority on enhancing access to, and interpretation of, the collection for a wide range of audiences. The key priorities for the NFSA are: - developing the collection - at the core of activity is developing a national audio-visual collection to the highest curatorial standards - preserving the collection - ensuring permanent access to the national audio-visual collection - sharing the collection - making the national audio-visual collection available to the widest possible cross-section of the Australian public.",Act / Regulation,National Film and Sound Archive of Australia Act 2008,39630,Recreation and Culture,Yes - Statutory Agency,164,,,,,Yes,ANAO,,41 251 017 588,,,25243,38550,McCoy Cct,ACTON,ACT,2600,Australia,http://www.nfsa.gov.au,http://www.nfsa.gov.au/about/corporate,http://www.nfsa.gov.au/about/corporate,http://www.nfsa.gov.au/about/corporate/budget-statements/
O-000805,,National Gallery of Australia,Communications and the Arts,A. Principal,B. Corporate Commonwealth Entity,GGS,Material,"The purpose of the National Gallery of Australia is to develop and maintain a national collection of works of art. It exhibits, or makes available for exhibition by others, works of art from the national collection or works of art that are in the possession of the Gallery and uses every endeavour to make the most advantageous use of the national collection in the national interest.",Act / Regulation,National Gallery Act 1975,27914,Recreation and Culture,,217,,,,,Yes,ANAO,,27 855 975 449,,,66828,84362,Parkes Place,Canberra,ACT,2600,Australia,http://nga.gov.au,http://nga.gov.au/AboutUs/DOWNLOAD/StratPlan_2013-17.pdf,http://www.nga.gov.au/AboutUs/Reports/index.cfm,https://www.ag.gov.au/Publications/Budgets/Budget2015-16/Documents/Portfolio-budget-statements/23-2015-16-PBS-NGA.pdf
O-000806,,National Library of Australia,Communications and the Arts,A. Principal,B. Corporate Commonwealth Entity,GGS,Material,"The role of the National Library of Australia is to ensure that documentary resources of national significance relating to Australia and the Australian people, as well as significant non-Australian library materials, are collected, preserved and made accessible either through the Library itself or through collaborative arrangements with other libraries and information providers. By offering a strong national focus and cooperating with others who share our goals, the Library supports learning, creative and intellectual endeavour, and contributes to the continuing vitality of Australia's diverse culture and heritage.",Act / Regulation,National Library Act 1960,22363,Recreation and Culture,Yes - Statutory Agency,371,,,,,Yes,ANAO,,28 346 858 075,,,64528,77689,Parkes Place,Canberra,ACT,2600,Australia,http://www.nla.gov.au/,http://www.nla.gov.au/corporate-documents/corporate-plans,http://www.nla.gov.au/corporate-documents/annual-reports,http://www.ag.gov.au/Publications/Budgets/Budget2014-15/Pages/PortfolioBudgetStatements2014-15.aspx
O-000807,,National Museum of Australia,Communications and the Arts,A. Principal,B. Corporate Commonwealth Entity,GGS,Small,"The National Museum of Australia's role is to develop and maintain a national collection of historical material and increase awareness and understanding of Australia's history and culture. It fulfils this by undertaking research, managing its collections and providing access through public programs and exhibitions. It's mission is to promote an understanding of Australia's history and an awareness of future possibilities by: - developing, preserving, digitising and exhibiting a significant national collection; - taking a leadership role in research and scholarship; - engaging and providing access for audiences nationally and internationally; and - delivering innovative programmes.",Act / Regulation,National Museum of Australia Act 1980,29472,Recreation and Culture,Yes - Statutory Agency,226,,,,,Yes,ANAO,,70 592 297 967,,,46524,54944,"Lawson Crescent, Acton Peninsula",Acton,ACT,2600,Australia,http://www.nma.gov.au,http://www.nma.gov.au/about_us/ips/strategic-plan,http://www.nma.gov.au/about_us/ips/annual-report,http://www.nma.gov.au/about_us/ips/budget
O-000808,,National Portrait Gallery of Australia,Communications and the Arts,A. Principal,B. Corporate Commonwealth Entity,GGS,Small,"The purpose of the National Portrait Gallery of Australia is to develop, preserve, maintain, promote and provide access to a national collection consisting of portraits that reflect the identity, history, diversity and culture of Australia. The Gallery develops and engages a national audience and uses every endeavour to make the most advantageous use of the national collection in the national interest.",Act / Regulation,National Portrait Gallery of Australia Act 2012 National Portrait Gallery of Australia Regulations 2013 National Portrait Gallery of Australia (Consequential and Transitional Provisions) Act 2012,41456,Recreation and Culture,Yes - Statutory Agency,49,,,,,Yes,ANAO,,54 742 771 196,,,11844,16594,King Edward Terrace,Parkes Canberra,ACT,2601,Australia,http://www.portrait.gov.au,http://www.portrait.gov.au/content/policies,http://www.portrait.gov.au/content/policies,http://www.portrait.gov.au/content/finance
O-000809,,NBN Co Limited,Communications and the Arts,A. Principal,C. Commonwealth Company,PNFC,Material,"NBN Co Limited (NBN Co) is a wholly-owned Commonwealth company - a Government Business Enterprise - and is represented by Shareholder Ministers - the Minister for Communications and the Minister of Finance. The NBN Co goals are to deliver Australia's first national wholesale-only, open access broadband network to all Australians.",Act / Regulation,National Broadband Network Companies Act 2011,39912,Transport and Communication,,,,,,,Yes,ANAO,,86 136 533 741,,,,,"Level 40-41, 360 Elizabeth Street",Melbourne,VIC,3000,Australia,http://www.nbnco.com.au/,http://www.nbnco.com.au/corporate-information/about-nbn-co/corporate-plan.html,http://www.nbnco.com.au/corporate-information/about-nbn-co/corporate-plan/financial-reports.html,https://www.communications.gov.au/documents/2015-16-comms-and-arts-paes
O-000810,,Screen Australia,Communications and the Arts,A. Principal,B. Corporate Commonwealth Entity,GGS,Small,"Screen Australia is the Commonwealth Government screen agency providing support to Australian film, television, documentary and digital media makers.",Act / Regulation,Screen Australia Act 2008,39630,Recreation and Culture,Yes - Statutory Agency with Dual Staffing Powers,97,,,,,Yes,ANAO,,46 741 353 180,,,11331,89616,"Level 7, 45 Jones Street",Ultimo,NSW,2007,Australia,http://www.screenaustralia.gov.au/,http://www.screenaustralia.gov.au/about_us/Corporate-Information.aspx,http://www.screenaustralia.gov.au/about_us/Corporate-Information.aspx,https://www.ag.gov.au/Publications/Budgets/Budget2015-16/Pages/default.aspx
O-000811,,Special Broadcasting Service Corporation,Communications and the Arts,A. Principal,B. Corporate Commonwealth Entity,GGS,Small,"SBS is Australia's primary multicultural broadcaster whose principal function is to provide multilingual and multicultural radio, television and digital services that inform, educate and entertain all Australians, and, in doing so, reflect and promote Australia's multicultural society. SBS provides services, including in-language content for Australia's multicultural society, including ethnic, Aboriginal and Torres Strait Islander communities and contributes to the retention and continuing development of language and other cultural skills.",Act / Regulation,Special Broadcasting Service Act 1991,33595,Recreation and Culture,,1130,,,,,Yes,ANAO,,91 314 398 574,,,290054,396357,14 Herbert Street,Artarmon,NSW,2064,Australia,http://www.sbs.com.au/,http://www.sbs.com.au/aboutus/corporate/index/id/40/h/Policies-Publications,http://www.sbs.com.au/aboutus/corporate/view/id/111/h/Annual-Reports,http://www.communications.gov.au/about_us/budget
B-002210,,ABC Advisory Council,Communications and the Arts,B. Secondary,E. Statutory Office Holder Offices and Committees,,,The Australian Broadcasting Corporation Advisory Council advises the Board on matters relating to the Corporation's broadcasting programs.,Act / Regulation,Australian Broadcasting Corporation Act 1983,30498,,,,,,,,,,,,Australian Broadcasting Corporation,,,,700 Harris Street,Ultimo,NSW,2007,Australia,http://about.abc.net.au/who-we-are/abc-advisory-council/,,,
B-000632,,Advisory Committee for Indigenous Repatriation,Communications and the Arts,B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"The Australian Government's Policy on Indigenous Repatriation provides the all-Indigenous Advisory Committee for Indigenous Repatriation (the Committee), to provide advice to the Minister for the Arts and the Department of Communications and the Arts on: policy and program issues related to Indigenous repatriation from Australian and overseas collections; the repatriation of Aboriginal and Torres Strait Islander ancestral remains and secret sacred objects that have limited provenance and no identified community of origin; repatriation matters that affect all or many communities (as each community advises in its own cultural protocols for ancestral remains); and other relevant matters. Members of the Committee are appointed based on their understanding of Aboriginal or Torres Strait Islander culture and traditions; and have experience in Indigenous repatriation and/or cultural heritage work. Members do not represent their local Nation or language group; employer; organisation; or state or territory of origin or residence. The six-member committee includes a male and a female Co-Chair and four members of Aboriginal and/or Torres Strait Islander descent (with at least one Torres Strait Islander representative).",Other,Indigenous Repatriation Policy 2011,40989,,,,6,Yes,Ministerial,,"No, but noted in parent's annual report",,,,,,,,,,,,,https://www.arts.gov.au/what-we-do/cultural-heritage/indigenous-repatriation,,,
B-000620,,Australia Post Stakeholder Council,Communications and the Arts,B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"Australia Post's Stakeholder Council is an external advisory group of 10 individuals whose role is to help Australia Post's communication and engagement with stakeholders. The council meets three times a year and is chaired by an Australia Post board member. Council members offer a range of views, representative of their roles and experience in small and medium business, industrial relations, direct marketing and corporate responsibility.",Principal Body / Management Board / Senior Executive Officer,,33786,,,,,,,,No,,,,Australian Postal Corporation,,,,,,,,,,http://auspost.com.au/about-us/corporate-governance.html,http://auspost.com.au/about-us/publications.html,http://www.communications.gov.au/about_us/budget
B-000621,,Classification Board,Communications and the Arts,B. Secondary,E. Statutory Office Holder Offices and Committees,,,"The Classification Board is an independent statutory authority established under the National Classification Scheme, a legislated co-operative arrangement created 1 January 1996 between the Australian, state and territory governments that provides a national approach to classification. The board is responsible for classification decisions concerning films, computer games and publications. Principles for decision-making are set out in the National Classification Code. Separate guidelines for the classification of films, computer games and publications are established under the Scheme. The board comprises of a director, a deputy director, other board members and temporary board members.",Act / Regulation,"Classification (Publications, Films and Computer Games) Act 1995",35065,,,,30,Yes,Governor-General in Council,,Yes,,,,,,,,23-33 Mary Street,Surry Hills,,2001,,http://www.classification.gov.au/Pages/Home.aspx,,http://www.classification.gov.au/About/AnnualReports/Pages/Annual-reports.aspx,http://www.ag.gov.au/Publications/Budgets/Budget2015-16/Documents/Portfolio-budget-statements/PBS-Attorney-Generals-Department-2015-16.pdf
B-000622,,Classification Review Board,Communications and the Arts,B. Secondary,E. Statutory Office Holder Offices and Committees,,,"The Classification Review Board is an independent statutory authority set-up under the National Classification Scheme, a legislated co-operative arrangement created 1 January 1996 between the Australian, state and territory governments that provides a national approach to classification. The review board is a part-time board which meets to review a decision of the Classification Board as needed. Principles for decision-making are set out in the National Classification Code. Separate guidelines for the classification of films, computer games and publications are established under the Scheme. The review board comprises of a convenor, a deputy convenor and other review board members.",Act / Regulation,"Classification (Publications, Films and Computer Games) Act 1995",35065,,,,8,Yes,Governor-General in Council,,Yes,,,,,,,,23-33 Mary Street,Surry Hills,NSW,2001,Australia,http://www.classification.gov.au/Pages/Home.aspx,,http://www.classification.gov.au/About/AnnualReports/Pages/Annual-reports.aspx,http://www.ag.gov.au/Publications/Budgets/Budget2015-16/Documents/Portfolio-budget-statements/PBS-Attorney-Generals-Department-2015-16.pdf
B-000631,,Communications Sector Group,Communications and the Arts,B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"The Communications Sector Group (CSG) is a sub-forum of the Trusted Information Sharing Network (TISN). CSG shares information and develops best practices to mitigate communications vulnerabilities. While TISN is managed by the Attorney-General's Department, the Department of Communications provides Secretariat support to the CSG. The CSG comprises representatives from the telecommunications, broadcasting, international submarine cable, postal sectors and from relevant state and territory agencies.",Principal Body / Management Board / Senior Executive Officer,,37803,,,,0,No,,,No,,,,,,,,38 Sydney Avenue,FORREST,ACT,2601,Australia,http://www.tisn.gov.au,,,
B-002219,,Communications Security and Enforcement Roundtable,Communications and the Arts,B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"Part of ACMA. A forum that deals with communications, law enforcement regulatory and operational matters.","Committee, Council, Board, Forum",CSER is an open forum and not a formal committee under s58 of the Australian Communications and Media Authority Act 2005,39749,,,,,,,,No,,,,Australian Communications and Media Authority,,,,,,,,,,,,
B-000623,,Consumer Consultative Forum,Communications and the Arts,B. Secondary,E. Statutory Office Holder Offices and Committees,,,"The ACMA was required to establish a Consumer Consultative Forum under section 59 of the Australian Communications and Media Authority Act 2005. The Consumer Consultative Forum (CCF) is chaired by an ACMA member, and assists ACMA to perform its functions in relation to matters affecting consumers. The aims of the CCF are to: - provide a forum to engage demand-side and supply-side interests on communications consumer issues; - ensure that the ACMA has access to representative perspectives on issues affecting consumers; - within the context of overall consumer interests, position the interests of systematically disadvantaged consumers. Membership includes representatives from consumer groups, industry bodies, and regulatory and government agencies.",Act / Regulation,"Australian Communications and Media Authority Act 2005, section 59",38534,,,,,,,,,,,,Australian Communications and Media Authority,,,,,,,,,,,,
B-000624,,Copyright Tribunal of Australia,Communications and the Arts,B. Secondary,E. Statutory Office Holder Offices and Committees,,,"The Copyright Tribunal of Australia is an independent body administered by the Federal Court of Australia. The Tribunal consists of a President, a number of Deputy Presidents and other members as appointed by the Governor-General. A presidential member must be a judge of the Federal Court of Australia. Other members must have a knowledge of, or experience in one of the areas of expertise as set out in s. 140(2) of the Copyright Act 1968, which includes law, industry, public administration and economics. The Tribunal has no physical resources of its own. Registry services and administrative support for the Tribunal are provided by staff of the Federal Court. Generally, the Tribunal has jurisdiction with respect to the Copyright Statutory Licences and Voluntary Licences.",Act / Regulation,Copyright Act 1968,25324,,,,0,Yes,Governor-General in Council,,"No, but noted in parent's annual report",ANAO,,,,,,,"Level 17 Governor Macquarie Tower, 1 Farrer Place",Sydney,NSW,2000,Australia,http://www.copyrighttribunal.gov.au/,,,
B-000625,,Emergency Call Service Advisory Committee,Communications and the Arts,B. Secondary,E. Statutory Office Holder Offices and Committees,,,"Since 2000, the ACMA has maintained an emergency services advisory committee to assist the ACMA in performing its telecommunications functions in relation to the emergency call service. Membership of the Emergency Call Service Advisory Committee (ECSAC) is comprised of representatives from government, consumer groups, emergency service organisations, carriers, carriage service providers and the emergency call persons. ECSAC provides advice to the ACMA on a range of operational, performance and priority matters relating to the emergency call service and provides a forum for the exchange of views and discussion.",Act / Regulation,"Australian Communications and Media Authority Act, section 58",36709,,,,,,,,,,,,Australian Communications and Media Authority,,,,,,,,,,,,
B-002218,,eSafety Commissioner,Communications and the Arts,B. Secondary,E. Statutory Office Holder Offices and Committees,,,Legislation to establish the Children's eSafety Commissioner (CeSC) commenced on 1 July 2015. The Enhancing Online Safety for Children Amendment Bill 2017 passed Parliament came into effect on 23 June 2017. This lead to a title change with the Children?s eSafety Commissioner maturing to be the eSafety Commissioner. The eSC is a independent statutory office within the Australian Communications and Media Authority. The Commissioner will take a national leadership role in online safety.,Act / Regulation,Enhancing Online Safety Act 2015,42186,,,,,,,,Yes,,,12 212 931 598,Australian Communications and Media Authority,,,,"Benjamin Offices, Chan Street",Belconnen,ACT,2617,Australia,http://www.esafety.gov.au,,,http://www.communications.gov.au/who-we-are/department/budget/2015-16-budget-communications-portfolio
B-000626,,Film Certification Advisory Board,Communications and the Arts,B. Secondary,E. Statutory Office Holder Offices and Committees,,,The Film Certification Advisory Board (FCAB) provides advice to the Minister for the Arts on applications to the Location and Post Digital and Visual Effects (PDV) Offsets under Division 376 of the Income Tax Assessment Act 1997. The Location and PDV Offset are refundable tax offsets for qualifying Australian production expenditure for film and television projects or PDV production in Australia. The Board also advises the Minister on policy issues relevant to the Offsets . Members include the chair (departmental official) and two other members appointed by the Minister for the Arts.,Act / Regulation,Film Certification Advisory Board Rules 2018,39483,,,,3,Yes,Ministerial,,"No, but noted in parent's annual report",,,,,,,,,,,,,,,,
B-002211,,National Broadband Network Liaison Group,Communications and the Arts,B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"National Broadband Network Liaison Group (NBNLG) is made up of representatives from the Department, NBN Co and state and territory governments. The meetings provide a forum for NBN Co to update state and territory representatives on the progress of the NBN rollout and any regulatory and policy issues being considered. The meetings give representatives the opportunity to discuss initiatives relevant to the rollout of the NBN.",Principal Body / Management Board / Senior Executive Officer,,40725,,,,0,No,,,No,,,,Department of Communications and the Arts,,,,,,,,,,,,
B-000627,,National Cultural Heritage Committee,Communications and the Arts,B. Secondary,E. Statutory Office Holder Offices and Committees,,,"The Committee advises the Minister on the operation of the Act, the National Cultural Heritage Control List, and the National Cultural Heritage Account. 10 members comprising four persons, each of whom represents a different collecting institution, a member of Universities Australia, a nominee of the Minister for Families, Housing, Community Services and Indigenous Affairs, and four other persons with experience relevant to the cultural heritage of Australia - appointed by Minister for the Arts.",Act / Regulation,Protection of Movable Cultural Heritage Act 1986,31960,,,,10,Yes,Other,TBA,"No, but noted in parent's annual report",,,,,,,,,,,,,,,,
B-003947,,National Portrait Gallery of Australia Foundation,Communications and the Arts,B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,The vision of the National Portrait Gallery of Australia Foundation is to establish and grow a dynamic culture of giving such that donations and support may sustain ambitious Gallery projects into the future.,"Committee, Council, Board, Forum",Board,42186,,,,,,,,,,,,,National Portrait Gallery of Australia (Board),,,,,,,,,,,
B-002212,,Numbering Advisory Committee,Communications and the Arts,B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"The Numbering Advisory Committee was established in March 1991 by AUSTEL, one of the predecessors of the ACMA, and has met an average of three times a year since then to assist, first AUSTEL and then the ACMA, in performing its functions relating to management of Australia's numbering resources. Secretariat support is provided by staff of ACMA. Members of the Numbering Advisory Committee include user groups (including those representing residential telephone users, small business and corporate users), carriage service providers (including the three largest carriers, Telstra, Optus and Vodafone), and a number of industry associations and government representatives.",Act / Regulation,"Australian Communications and Media Authority Act 2005, section 58",33299,,,,,,,,,,,,Australian Communications and Media Authority,,,,,,,,,,,,
B-003227,,Online Safety Consultative Working Group,Communications and the Arts,B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"Online Safety Consultative Working Group (CWG) provides advice to government on online safety issues. The group has the important role of providing advice on measures to protect Australian children from online risks including cyber bullying, exposure to illegal content and privacy breaches. The group meets twice a year and has members drawn from community groups, internet service providers, industry associations, business and government. Sub-working groups will be formed as required to address specific online safety issues.",Principal Body / Management Board / Senior Executive Officer,,41579,,,,0,No,,,No,,,,,eSafety Commissioner,,,"Benjamin Offices, Chan Street",Belconnen,ACT,2617,Australia,,,,
B-002213,,Protection Zone Advisory Committee,Communications and the Arts,B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"The Australian Communication and Media Authority (ACMA) may declare a protection zone in relation to one or more international submarine cables, or one or more submarine cables that are proposed to be installed. The Advisory Committee reviews the Australian Communication and Media Authority's (ACMA) proposals for a Protection Zone submarine cables that are installed or yet to be installed.",Act / Regulation,"Australian Communications and Media Authority Act 2005, section 58; and Telecommunications At 1997, schedule 3A",38869,,,,,,,,No,,,,Australian Communications and Media Authority,,,,"Level 32, Melbourne Central Tower, 360 Elizabeth Street",MELBOURNE,VIC,3000,Australia,http://www.acma.gov.au,,,
B-000628,,Public Lending Right Committee,Communications and the Arts,B. Secondary,E. Statutory Office Holder Offices and Committees,,,The Australian Government makes payments to eligible Australian creators and publishers under the Public and Educational Lending Right (PLR and ELR) programs as recompense for the free multiple use of their books in public and educational lending libraries. The Committee has the power to determine the eligibility of applicants under both the PLR and ELR programs and to approve payments under the PLR program. The Department of Communications and the Arts is responsible for day-to-day management of the programs. The Committee may also provide advice to the Minister for the Arts regarding the programs.,Act / Regulation,Public Lending Right Act 1985,31959,,,,7,Yes,Ministerial,,Yes,,,,,,,,4 National Circuit,BARTON,ACT,2600,Australia,https://www.arts.gov.au/what-we-do/literature/public-lending-rights-committee,,https://www.arts.gov.au/what-we-do/literature/public-lending-rights-committee-annual-reports,
B-002214,,Radio Communications Consultative Committee,Communications and the Arts,B. Secondary,E. Statutory Office Holder Offices and Committees,,,Assists ACMA to perform its spectrum management functions under s9 of the Act by: - providing advice to ACMA on international and domestic radio communication issues; - providing a forum for liaison and coordination between ACMA and organisations represented by persons appointed by the Committee; - assisting ACMA by identifying other important interests that should be considered as part of a broader consultative approach; and - providing advice to ACMA on other relevant issues identified during consultation with industry groups.,Act / Regulation,"Australian Communications and Media Authority Act 2005, section 9",38535,,,,,,,,,,,,Australian Communications and Media Authority,,,,,,,,,,,,
B-000634,,Regional Telecommunications Independent Review Committee,Communications and the Arts,B. Secondary,E. Statutory Office Holder Offices and Committees,,,"A Regional Telecommunications Independent Review Committee (RTIRC) is established approximately every 3 years by Part 9B of the Telecommunications (Consumer Protection and Service Standards) Act 1999 (the Act) to conduct reviews into the adequacy of telecommunications services in regional, rural and remote parts of Australia. The Committee is to prepare a report and provide this report to the Minister, at which point the review is deemed to have been completed. This must occur within 3 years of the completion of the previous review.",Act / Regulation,Telecommunications (Consumer Protection and Service Standards) Act 1999,42129,,,,0,Yes,Ministerial,,No,,,,,,,,,,,,,http://www.rtirc.gov.au/,,,
B-002215,,SBS Community Advisory Committee,Communications and the Arts,B. Secondary,E. Statutory Office Holder Offices and Committees,,,"The function of the committee, specified under the Act is: 'To assist the SBS Board to fulfil its duty to be aware of, and responsive to, community needs and opinions, by advising the Board on community needs and opinions, including those of small or newly arrived ethnic groups, on matters relevant to its Charter.' The Community Advisory Committee generally meets three times a year to discuss issues of relevance to SBS and to give advice, raise community concerns and provide feedback on programming and projects to the SBS Board. Committee members are appointed by the SBS Board. In determining appointments to the Community Advisory Committee, the Board considers matters including diversity of backgrounds, geographical spread and specialised skills and knowledge; including ability to reflect the needs and interests of women, youth, the aged, and people with disabilities.",Act / Regulation,Special Broadcasting Service Act 1991,33595,,,,,,,,,,,,Special Broadcasting Service Corporation,,,,Locked Bag 028,Crows Nest,NSW,1585,Australia,http://www.sbs.com.au/aboutus/community/article/id/160/h/Community-Advisory-Committee,,,
B-003228,,Youth Advisory Group on Cybersafety,Communications and the Arts,B. Secondary,D. Advisory Body - Policy and Stakeholder Consultation,,,"The Youth Advisory Group on Cyber Safety (YAG) is a group of young Australians aged 8 to 17 who provide advice directly to government on online safety issues from a young person's perspective. YAG advice has resulted in the development and refinement of online safety resources and initiatives to help keep all Australians safer in the online world. Responsibility for the YAG program transferred from the Department of Communications to the Children's eSafety Commissioner on 1 July 2015. The first YAG consultation was launched in 2009 with 304 secondary school students representing 15 schools from across Australia. In 2013, 2612 students from 289 schools Australia-wide participated in the YAG. All Australian primary and secondary schools are eligible to nominate for the YAG program.",Minister,,39996,,,,0,No,,,"Yes, but not tabled",,,,Australian Communications and Media Authority,,,,"Benjamin Offices, Chan Street",Belconnen,ACT,2617,Australia,,,,
B-002222,,AP Innovation Ventures Pty Ltd,Communications and the Arts,C. Other,I. Subsidiaries of Corporate Commonwealth Entities and Commonwealth Companies,,,"AP Innovation Ventures Pty Ltd is an Australia Post controlled entity, established as a trustee for Innovation Ventures Trust.",Corporations Act 2001 / Company / Trust Deed / Partnership,,42360,,,,0,No,,,,ANAO,,48 609 953 504,Australian Postal Corporation,,,,111 Bourke Street,Melbourne,VIC,3000,Australia,,http://auspost.com.au/about-us/corporate-governance.html,http://auspost.com.au/about-us/publications.html,http://www.communications.gov.au/about_us/budget
B-002223,,AP International Holdings Pty Ltd,Communications and the Arts,C. Other,I. Subsidiaries of Corporate Commonwealth Entities and Commonwealth Companies,,,"Australia Post controlled holding entity for Postlogistics (Hong Kong) Pte Limited, a Hong incorporated entity providing freight forwarding services. Also holds a minority shareholding (49%) in Sai Cheng Logistics International Company Ltd and in Aramex Global Solutions Private Limited (40%)",Corporations Act 2001 / Company / Trust Deed / Partnership,,38191,,,,0,No,,,No,ANAO,,63 110 171 723,Australian Postal Corporation,,,,111 Bourke Street,Melbourne,VIC,3000,Australia,,http://auspost.com.au/about-us/corporate-governance.html,http://auspost.com.au/about-us/publications.html,http://www.communications.gov.au/about_us/budget
B-002225,,APost Accelerator Pty Ltd,Communications and the Arts,C. Other,I. Subsidiaries of Corporate Commonwealth Entities and Commonwealth Companies,,,Australia Post controlled entity,Corporations Act 2001 / Company / Trust Deed / Partnership,,42374,,,,0,No,,,,ANAO,,59 610 049 084,Australian Postal Corporation,,,,111 Bourke Street,Melbourne,VIC,3000,Australia,,http://auspost.com.au/about-us/corporate-governance.html,http://auspost.com.au/about-us/publications.html,http://www.communications.gov.au/about_us/budget
B-002226,,APost innovation Pty Ltd,Communications and the Arts,C. Other,I. Subsidiaries of Corporate Commonwealth Entities and Commonwealth Companies,,,Australia Post controlled entity,Corporations Act 2001 / Company / Trust Deed / Partnership,,42360,,,,0,No,,,,ANAO,,50 609 953 513,Australian Postal Corporation,,,,111 Bourke Street,Melbourne,VIC,3000,Australia,,http://auspost.com.au/about-us/corporate-governance.html,http://auspost.com.au/about-us/publications.html,http://www.communications.gov.au/about_us/budget
B-003786,,Australia Post Digital iD Pty Ltd,Communications and the Arts,C. Other,I. Subsidiaries of Corporate Commonwealth Entities and Commonwealth Companies,,,Australia Post controlled entity (formerly SB Parcels Pty Ltd),Corporations Act 2001 / Company / Trust Deed / Partnership,,42543,,,,,,,,,,,55 613 164 337,Australian Postal Corporation,,,,,,,,,,,,
